Open,High,Low,Close,Adj Close,Volume,Daily_Return,Log_Return,Price_Range,MA_7,MA_30,MA_90,Volatility_30,Volume_MA_30,Day_of_Week,Month,Quarter,Year,Close_Diff
76.685715,76.825714,74.757141,75.812859,65.512878,199630200,0.0810833506811326,0.0008105049589098783,2.0685730000000007,66.33786342857142,61.243776,,1.5699097857984565,143787116.66666666,2,3,1,2012,0.05307700000000182
76.384285,77.57,76.017143,77.427139,66.907837,129114300,2.1292897558248036,0.021069371262889106,1.5528569999999888,66.45390428571429,61.63605403333333,,1.2172334879966744,140104976.66666666,3,3,1,2012,1.394959
77.744286,78.248573,77.587143,77.881432,67.300438,104729800,0.5867787954346726,0.005850639536096429,0.6614299999999957,66.50205442857143,62.04977233333334,,1.199246413838868,140896093.33333334,4,3,1,2012,0.3926009999999991
78.425713,78.85714,78.14286,78.85714,68.143532,101820600,1.252731817287711,0.012449500546062475,0.7142800000000022,66.63484628571429,62.48068933333333,,1.2034812415863174,141792536.66666666,0,3,1,2012,0.8430939999999936
79.648575,81.168571,79.39286,81.157143,70.13105,172713800,2.9166641963906503,0.028749389283303665,1.7757110000000011,67.03904828571429,62.95427803333333,,1.2656545598010014,144388486.66666666,1,3,1,2012,1.9875180000000086
82.578575,84.959999,82.199997,84.225716,72.782761,354711000,3.7810798497954767,0.037113493079441104,2.760002,68.03404242857142,63.50197803333334,,1.3802453155229626,152948156.66666666,2,3,1,2012,2.6517109999999917
85.658569,85.715714,82.650002,83.651428,72.286484,289929500,-0.6818606400490812,-0.00684195931386976,3.065712000000005,69.00928285714285,64.03432856666667,,1.399087884710004,160362090.0,3,3,1,2012,-0.4962769999999921
83.531425,84.171425,82.571426,83.652855,72.287727,206371900,0.0017195469072861513,1.7195321232477983e-05,1.5999989999999968,69.97711842857143,64.57112396666666,,1.3934540270703675,165684516.66666666,4,3,1,2012,0.0012430000000023256
85.48143,85.96714,84.150002,85.871429,74.204872,225309000,2.652103032648956,0.02617544467710843,1.817138,71.01955199999999,65.15305983333333,,1.4315861433807684,170806486.66666666,0,3,1,2012,1.9171449999999908
85.644287,86.699997,84.497147,86.565712,74.804832,204165500,0.8085183409520802,0.008052673429346948,2.202849999999998,72.09160828571429,65.73734136666667,,1.4316912402596715,175533563.33333334,1,3,1,2012,0.59996000000001
